DOCTNMBR,REPTTYPE,CRSHDATE,NTFYHOUR,CNTYNAME,MUNINAME,MUNITYPE,LOCTYPE,ONHWY,ONHWYSYS,ONHWYDIR,ONHWYTYP,ONSTR,ATHWY,ATHWYSYS,ATHWYDIR,ATHWYTYP,ATSTR,INTDIR,INTDIS,LATDECDG,LONDECDG,CRSHTYPE,RLTNRDWY,MNRCOLL,HWYCLASS,INJSVR,TOTVEH,TOTMOT,TOTNMT,TOTINJ,TOTFATL,ALCFLAG,BIKEFLAG,BUSFLAG,CONSZONE,CMVFLAG,CYCLFLAG,DISTFLAG,DRUGFLAG,INJTRNS,MOPFLAG,PEDFLAG,SFTYFLAG,SPEEDFLAG,TEENDRVR,WISLR_LINKID,WISLR_LKOFFSET,WISLR_LK_HIST_FLAG,ONHWYSYS,POSTSPD1
1KL072BC4P,DT4000,9/25/2017,17,DANE,MIDDLETON,C,I,Q,CTH,,,,M,CTH,,,,S,0.0108,43.10441294,-89.48677554,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4841419,468,,CTH,35
1KL05Z0C43,DT4000,9/25/2017,21,DANE,MIDDLETON,C,PL,,,,,GREENWAY BLVD,,,,,JOHN Q HAMMONS DR,E,0.053,43.09014101,-89.52360623,PKVEH,PARK,NO,U CITY,O,2,1,0,0,0,,,,,,,,,,,,,,,4842406,280,,,
02L0Z1L4KJ,DT4000,9/27/2017,9,DANE,MIDDLETON,T,N,14,USH,WB,,,,,,,SCHWARTZ RD,,0,43.09600771,-89.54514749,MVIT,ON,SSS,R STH,C,1,1,1,1,0,,,,,,,,,Y,,,,,,5314203,514,,USH,45
1KL05Z0C44,DT4000,9/27/2017,18,DANE,MIDDLETON,C,N,,,,,GREENWAY BLVD,,,,,RAMP USH 12 TO GREENWAY BLVD,W,0.0384,43.0901479,-89.5228784,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,,,4842406,474,,,30
1KL062PGFK,DT4000,9/28/2017,8,DANE,MIDDLETON,C,N,M,CTH,,,,,,,,HIGHLAND WAY,W,0.0669,43.10742691,-89.48087294,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5064494,625,,CTH,35
1KL06WD6Q2,DT4000,9/28/2017,15,DANE,MIDDLETON,C,PL,,,,,PARMENTER ST,,,,,LISA LN,S,0.0498,43.1083044,-89.51019757,MVIT,R SIDE,RTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4827337,889,,,
1KL06WD6Q3,DT4000,9/29/2017,8,DANE,MIDDLETON,C,N,MS,CTH,,,,,,,,AURORA ST,E,0.0288,43.09683642,-89.51220159,MVIT,ON,FTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,Y,4841812,152,,CTH,30
1KL06WD6Q4,DT4000,9/29/2017,12,DANE,MIDDLETON,C,I,,,,,RAMP USH 12 TO USH 14,14,USH,EB,,,E,0.0191,43.09701197,-89.51863897,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5314295,186,,,35
1KL06SX4G9,DT4000,10/2/2017,12,DANE,MIDDLETON,C,N,MS,CTH,,,,,,,,PARMENTER ST,W,0.0178,43.09684223,-89.51188458,MVIT,ON,SSS,U CITY,O,2,2,0,0,0,Y,,,,,,,,,,,,,,4841812,236,,CTH,30
1KL07BZLWF,DT4000,10/2/2017,12,DANE,MIDDLETON,C,I,,,,,JOHN Q HAMMONS DR,,,,,GREENWAY BLVD,S,0.0106,43.08997769,-89.52464895,PED,ON,NO,U CITY,B,1,2,1,1,0,,,,,,,,,Y,,Y,,,,4821208,701,,,30
1KL0778HJS,DT4000,10/4/2017,8,DANE,MIDDLETON,C,PL,,,,,BRISTOL ST,,,,,NORTH AVE,N,0.0278,43.09963747,-89.50651948,MVIT,ON,RTS,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,,Y,4820257,850,,,
1KL06WD6Q6,DT4000,10/4/2017,16,DANE,MIDDLETON,C,PL,,,,,PARMENTER ST,,,,,DONNA DR,N,0.0235,43.10624881,-89.5106306,MVIT,R SIDE,RTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,Y,4827337,124,,,
1KL05WRB1B,DT4000,10/5/2017,7,DANE,MIDDLETON,C,I,MS,CTH,,,,,,,,BRANCH ST,N,0,43.09650699,-89.49567563,MVIT,ON,FTR,U CITY,C,2,2,0,1,0,,,,,,,Y,,,,,,,Y,4830635,0,,CTH,30
1KL06QG276,DT4000,10/5/2017,9,DANE,MIDDLETON,C,I,Q,CTH,,,,M,CTH,,,,,0,43.11180036,-89.47165277,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4840893,422,,CTH,30
02L0Z90C3S,DT4000,10/6/2017,7,DANE,MIDDLETON,T,I,S,CTH,,,,,,,,PIONEER RD,,0,43.06014289,-89.57166964,MVIT,ON,FTS,R CTH,B,2,3,0,2,0,,,,,,,,,,,,,,,5486465,741,,CTH,45
1KL06WD6Q7,DT4000,10/6/2017,16,DANE,MIDDLETON,C,PL,,,,,PARMENTER ST,,,,,DONNA DR,S,0.0335,43.10543245,-89.51080573,MVIT,R SIDE,RTS,U CITY,O,2,4,0,0,0,,,,,,,,,,,,,,,4827338,1138,,,
02L0Z90C3T,DT4000,10/6/2017,17,DANE,CROSS PLAINS,T,N,S,CTH,,,,P,CTH,,,,W,0.1684,43.03459554,-89.66934736,ANL NA,ON,FTF,R CTH,O,2,3,0,0,0,,,,,,,,,,,,,,Y,5009930,951,,CTH,55
1KL06RP3B6,DT4000,10/6/2017,20,DANE,MIDDLETON,C,I,MS,CTH,,,,,,,,CAYUGA ST,,0,43.0967919,-89.51396097,MVIT,ON,FTR,U CITY,O,3,5,0,0,0,,,,,,,Y,,,,,,,,4841813,370,,CTH,30
1KL06SX4GB,DT4000,10/8/2017,13,DANE,MIDDLETON,C,N,,,,,DEMING WAY,14,USH,WB,,,N,0.0205,43.09723178,-89.52357976,MVIT,ON,FTR,U CITY,O,2,6,0,0,0,,,,,,,,,,,,,,,5040838,108,,,25
1KL079QKSW,DT4000,10/9/2017,7,DANE,MIDDLETON,C,N,14,USH,EB,,,,,,,CONNECTOR USH 12 TO USH 14,,0,43.0969034,-89.51832214,MVIT,ON,FTR,U STH,B,2,2,0,1,0,,,,,,,,,,,,,,,4827343,53,,USH,
1KL06WD6Q9,DT4000,10/9/2017,12,DANE,MIDDLETON,C,I,MS,CTH,,,,,,,,BRISTOL ST,,0,43.0970327,-89.50661103,MVIT,ON,FTR,U CITY,O,3,4,0,0,0,,,,,,,Y,,,,,,,,4841796,475,,CTH,30
1KL05Z0C45,DT4000,10/9/2017,16,DANE,MIDDLETON,C,N,12,USH,WB,,,,,,,RAMP GREENWAY BLVD TO USH 12,,0,43.09310218,-89.51937815,MVIT,ON,FTR,U STH,O,2,4,0,0,0,,,,Y,,,,,,,,,,,5542154,2343,Y,USH,45
1KL06SX4GC,DT4000,10/11/2017,11,DANE,MIDDLETON,C,I,M,CTH,,,,,,,,PARMENTER ST,E,0.0098,43.11152646,-89.50940942,MVIT,ON,FTR,U CITY,C,2,2,0,1,0,,,,,,,,,,,,,,,4819519,52,,CTH,30
1KL06SX4GD,DT4000,10/12/2017,19,DANE,MIDDLETON,C,N,M,CTH,,,,,,,,PARMENTER ST,W,0.0517,43.11149239,-89.5106266,MVIT,ON,SSS,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,,Y,4840901,273,,CTH,35
1KL07GNQ6V,DT4000,10/13/2017,10,DANE,MIDDLETON,C,I,,,,,MENDOTA AVE,Q,CTH,,,,,0,43.09629961,-89.48597307,MVIT,ON,FTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4820464,686,,,35
1KL07FFP3N,DT4000,10/13/2017,19,DANE,MIDDLETON,C,I,,,,,TERRACE AVE,,,,,N HIGH POINT RD,,0,43.09457322,-89.51718144,MVIT,ON,FTR,U CITY,O,2,4,0,0,0,,,,,,,Y,,,,,,Y,,4820611,1214,,,25
1KL074SFBB,DT4000,10/14/2017,0,DANE,MIDDLETON,C,I,,,,,GREENWAY BLVD,,,,,JOHN Q HAMMONS DR,,0,43.09012943,-89.52476127,MVIT,ON,FTR,U CITY,O,2,4,0,0,0,,,,,,,Y,,,,,,,Y,4842408,634,,,35
1KL05QT5JV,DT4000,10/15/2017,13,DANE,MIDDLETON,C,I,,,,,PARK LAWN,MS,CTH,,,,,0,43.0970213,-89.50427686,MVIT,ON,SSS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4820403,475,,,25
24L04BTWRS,DT4000,10/17/2017,8,DANE,CROSS PLAINS,V,N,14,USH,WB,,MAIN ST,,,,,CENTER ST,W,0.004,43.11439004,-89.6575346,HYDRNT,RTSH,NO,R STH,O,1,1,0,0,0,,,,,,,Y,,,,,,,,4819381,297,,USH,30
1KL06SX4GF,DT4000,10/17/2017,13,DANE,MIDDLETON,C,I,M,CTH,,,,,,,,BRANCH ST,E,0.0106,43.10424645,-89.49244797,MVIT,ON,FTR,U CITY,C,2,2,0,1,0,,,,,,,,,,,,,,,4819977,56,,CTH,30
1KL06SX4GG,DT4000,10/17/2017,15,DANE,MIDDLETON,C,I,,,,,DEMING WAY,,,,,MARKET ST,S,0.0254,43.09272237,-89.52696138,TFSIGN,ON,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,,Y,,5451777,147,,,25
1KL06WD6QC,DT4000,10/17/2017,17,DANE,MIDDLETON,C,I,M,CTH,,,,,,,,VALLEY RIDGE RD,,0,43.11042162,-89.47474396,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,,,4819586,317,,CTH,35
02L0Z1L4KW,DT4000,10/18/2017,12,DANE,CROSS PLAINS,T,I,,,,,N BIRCH TRL,,,,,STAGECOACH RD,S,0.0167,43.09648649,-89.62070627,MVIT,ON,OTHR,R TOWN,O,1,1,1,0,0,,,,,,,,,,,,,,,4821054,2521,,,
1KL05Z0C46,DT4000,10/18/2017,16,DANE,MIDDLETON,C,I,,,,,GREENWAY BLVD,,,,,DEMING WAY,,0,43.09011206,-89.5269686,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4842408,634,,,
1KL06WD6QD,DT4000,10/18/2017,17,DANE,MIDDLETON,C,I,MS,CTH,,,,,,,,BRISTOL ST,,0,43.09707373,-89.50660961,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,,,4841796,475,,CTH,30
1KL07GNQ6W,DT4000,10/18/2017,17,DANE,MIDDLETON,C,I,M,CTH,,,,,,,,ALLEN CT,,0,43.10456008,-89.48684859,MVIT,ON,FTR,U CITY,C,2,2,0,1,0,,,,,,,,,,,,,,,5064246,845,,CTH,35
1KL05WRB1C,DT4000,10/19/2017,7,DANE,MIDDLETON,C,N,M,CTH,,,,,,,,PARMENTER ST,W,0.0248,43.11149429,-89.51009477,MVIT,ON,FTR,U CITY,O,2,4,0,0,0,,,,,,,,,,,,,,,4840901,131,,CTH,30
24L04D2XW1,DT4000,10/20/2017,7,DANE,CROSS PLAINS,V,N,,,,,MARKET ST,,,,,PARK ST,S,0.0246,43.11494054,-89.66012365,MVIT,ON,OTHR,R CITY,O,2,2,0,0,0,,,,,Y,,,,,,,,,,4819370,130,,,25
1KL07GNQ6Z,DT4000,10/20/2017,13,DANE,MIDDLETON,C,N,14,USH,WB,,,,,,,RAMP USH 12 TO USH 14,W,0.0869,43.09687925,-89.52066018,MVIT,ON,SSS,U STH,B,3,3,0,1,0,,,,,,,,,,,,Y,Y,Y,5488963,319,,USH,45
02L0XZ427H,DT4000,10/23/2017,13,DANE,CROSS PLAINS,T,N,14,USH,WB,,,KP,CTH,,,,,0,43.11616874,-89.67024205,MVIT,ON,FTR,R STH,C,2,2,0,1,0,,,,,,Y,,,Y,,,,,,5454897,4457,,USH,55
1KL06WD6QF,DT4000,10/24/2017,7,DANE,MIDDLETON,C,N,Q,CTH,,,,,,,,HARBOR CIR,N,0.0326,43.09397645,-89.48572587,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4842094,174,,CTH,35
02L0Z90C3X,DT4000,10/24/2017,16,DANE,MIDDLETON,T,I,,,,,AIRPORT RD,,,,,STONE WOOD DR,E,0.0157,43.11107617,-89.5525604,MVIT,ON,FTR,R TOWN,O,2,2,0,0,0,,,,,,,,,,,,,,Y,4819527,83,,,45
1KL06WD6QG,DT4000,10/25/2017,7,DANE,MIDDLETON,C,N,12,USH,WB,,,14,USH,WB,,,,0,43.09552809,-89.51750862,MVIT,ON,FTR,U STH,O,4,4,0,0,0,,,,Y,,,Y,,,,,,Y,,5314766,3274,,USH,45
1KL0607D75,DT4000,10/26/2017,11,DANE,MIDDLETON,C,I,,,,,DEMING WAY,14,USH,WB,,,N,0.0203,43.09722708,-89.52357951,MVIT,ON,SSS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5040838,107,,,25
02L0Z0C3DL,DT4000,10/26/2017,17,DANE,MIDDLETON,T,I,,,,,TWIN VALLEY RD,,,,,BLACKHAWK RD,,0,43.08201368,-89.57571318,TFSIGN,R SIDE,NO,R TOWN,B,1,1,0,1,0,Y,,,,,,,,Y,,,,Y,,4822228,2693,,,35
1KL05Z0C47,DT4000,10/26/2017,17,DANE,MIDDLETON,C,I,MS,CTH,,,,,,,,PARK LAWN,,0,43.0970213,-89.50427686,MVIT,ON,FTF,U CITY,C,2,2,0,1,0,,,,,,,,,,,,,,,4820402,317,,CTH,30
1KL06J8VN4,DT4000,10/26/2017,17,DANE,MIDDLETON,C,N,,,,,RAMP USH 12 TO CTH M,,,,,CONNECTOR USH 12 TO CTH M,,0,43.11071527,-89.51663523,MVIT,ON,FTR,U CITY,B,3,3,0,2,0,,,,,,,,Y,,,,,Y,,5323330,447,,,
1KL072BC4S,DT4000,10/27/2017,15,DANE,MIDDLETON,C,I,M,CTH,,,,,,,,BRANCH ST,,0,43.10428066,-89.49265174,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,Y,,,,,,,,4819969,845,,CTH,30
1KL072BC4T,DT4000,10/31/2017,8,DANE,MIDDLETON,C,N,MS,CTH,,,,,,,,PARK LAWN,W,0.0286,43.09700889,-89.50484365,MVIT,ON,OTHR,U CITY,O,2,3,0,0,0,,,Y/D,,,,,,,,,,,,4841792,472,,CTH,35
1KL07BZLWH,DT4000,10/31/2017,15,DANE,MIDDLETON,C,N,,,,,PLEASANT VIEW RD,,,,,FAIRWAY PL,N,0.211,43.10620965,-89.53598201,MVIT,ON,SSS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5036724,1114,,,35
02L1017150,DT4000,10/31/2017,19,DANE,CROSS PLAINS,T,N,,,,,OLD MILITARY RD,,,,,COYLE LN,,0,43.05426985,-89.62586297,DITCH,RTSH,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,,Y,4827421,2270,,,45
02L0Z90C40,DT4000,10/31/2017,21,DANE,MIDDLETON,T,N,14,USH,EB,,,,,,,CAPITOL CT,W,0.0483,43.09604033,-89.54426582,MVIT,ON,FTF,R STH,C,4,5,0,1,0,Y,,,,,,,,Y,,,Y,Y,,5314203,258,,USH,55
01L07K4SJ3,DT4000,11/1/2017,16,DANE,MIDDLETON,C,N,12,USH,WB,,,12,USH,WB,R,RAMP USH 12 TO GREENWAY BLVD,,0,43.08764079,-89.52116045,MVIT,ON,FTR,U STH,O,3,3,0,0,0,,,,,,,,,,,,,,Y,5542154,2343,Y,USH,55
1KL07BZLWJ,DT4000,11/1/2017,16,DANE,MIDDLETON,C,N,12,USH,WB,,,,,,,RAMP GREENWAY BLVD TO USH 12,,0,43.0947688,-89.5181552,MVIT,ON,FTR,U STH,C,3,4,0,2,0,,,,Y,,,,,,,,,,Y,5542154,2343,Y,USH,45
1KL06RP3B7,DT4000,11/1/2017,19,DANE,MIDDLETON,C,I,,,,,DEMING WAY,14,USH,EB,,,,0,43.09693499,-89.5235635,MVIT,ON,SSS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5040838,528,,,30
1KL072BC4V,DT4000,11/1/2017,21,DANE,MIDDLETON,C,N,,,,,GREENWAY BLVD,,,,,RAMP GREENWAY BLVD TO USH 12,,0,43.09015371,-89.52226349,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,,,,,,,,,,,,,4858290,475,,,30
1KL06SX4GH,DT4000,11/3/2017,9,DANE,MIDDLETON,C,I,14,USH,EB,,,,,,,CROSSOVER USH 14,,0,43.09638419,-89.53482925,MVIT,ON,FTS,U STH,O,2,2,0,0,0,,,,,Y,,,,,,,,,,5488970,461,,USH,45
1KL06SX4GJ,DT4000,11/3/2017,20,DANE,MIDDLETON,C,I,,,,,PARMENTER ST,,,,,GRABER RD,,0,43.11735581,-89.51256845,MVIT,ON,FTS,U CITY,O,2,5,0,0,0,Y,,,,,,,,,,,,,,4827335,528,,,35
1KL079QKT0,DT4000,11/6/2017,11,DANE,MIDDLETON,C,I,Q,CTH,,,,,,,,ROLLINGHILL DR,,0,43.1177304,-89.47162117,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4849511,475,,CTH,35
1KL0607D77,DT4000,11/6/2017,18,DANE,MIDDLETON,C,N,14,USH,EB,,,,,,,RAMP USH 12 TO USH 14,W,0.0199,43.09685165,-89.51933428,MVIT,ON,SSS,U STH,O,2,2,0,0,0,,,,,Y,,,,,,,,,,5488959,105,,USH,45
1KL072BC4W,DT4000,11/8/2017,8,DANE,MIDDLETON,C,I,M,CTH,,,,,,,,HIGH RD,,0,43.10898043,-89.50174641,MVIT,ON,FTS,U CITY,O,2,4,0,0,0,,,,,,,,,,,,,,Y,4819644,370,,CTH,35
1KL05WRB1F,DT4000,11/8/2017,15,DANE,MIDDLETON,C,PL,,,,,DEMING WAY,,,,,MURPHY DR,E,0.071,43.09851853,-89.52163877,MVIT,ON,FTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5120288,375,,,
1KL079QKT1,DT4000,11/8/2017,15,DANE,MIDDLETON,C,N,,,,,DONNA DR,,,,,SPRING GROVE CT,E,0.0182,43.10602531,-89.49879711,OT PST,R SIDE,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,,Y,,4819869,96,,,25
1KL07BZLWK,DT4000,11/8/2017,15,DANE,MIDDLETON,C,I,,,,,DEMING WAY,,,,,AIRPORT RD,,0,43.11119021,-89.52920837,MVIT,ON,FTS,U CITY,B,2,4,0,2,0,,,,,,,,,Y,,,,,Y,4830489,422,,,30
1KL079QKT2,DT4000,11/8/2017,16,DANE,MIDDLETON,C,N,,,,,ELMWOOD AVE,,,,,TERRACE AVE,N,0.0737,43.09585791,-89.51625627,MVIT,ON,FTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4885654,451,,,25
1KL07BZLWL,DT4000,11/9/2017,10,DANE,MIDDLETON,C,I,14,USH,EB,,,,,,,CONNECTOR USH 12 TO USH 14,,0,43.09682116,-89.51810677,MVIT,ON,SSS,U STH,O,2,2,0,0,0,,,,,Y,,,,,,,,,,5314338,60,,USH,35
1KL072BC4X,DT4000,11/9/2017,15,DANE,MIDDLETON,C,I,,,,,DEMING WAY,14,USH,EB,,,N,0.0155,43.09715928,-89.52357579,MVIT,ON,FTR,U CITY,O,3,3,0,0,0,,,,,Y,,,,,,,,,,5040838,82,,,35
1KL079QKT3,DT4000,11/9/2017,16,DANE,MIDDLETON,C,I,,,,,GREENWAY BLVD,,,,,JOHN Q HAMMONS DR,E,0.0235,43.0901353,-89.52419051,CURB,SEP,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,,,,4842406,124,,,35
1KL07FFP3P,DT4000,11/10/2017,6,DANE,MIDDLETON,C,N,Q,CTH,,,,,,,,LAKE ST,S,0.0252,43.10281695,-89.48627685,PED,ON,OTHR,U CITY,A,1,1,1,1,0,,,,,,,,,Y,,Y,,,,4841566,832,,CTH,35
1KL07BZLWM,DT4000,11/10/2017,19,DANE,MIDDLETON,C,N,M,CTH,,,,,,,,BRANCH ST,E,0.0443,43.10414951,-89.49179019,MVIT,ON,SSS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4819977,234,,CTH,35
1KL07BZLWN,DT4000,11/13/2017,16,DANE,MIDDLETON,C,I,M,CTH,,,,,,,,ALLEN CT,,0,43.10447967,-89.48680867,MVIT,ON,SSS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5064246,845,,CTH,35
1KL079QKT4,DT4000,11/14/2017,9,DANE,MIDDLETON,C,N,,,,,DEMING WAY,,,,,UW HEALTH CT,S,0.1354,43.09964209,-89.51910126,MVIT,ON,SSS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5120288,1155,,,35
1KL063XHK3,DT4000,11/15/2017,1,DANE,MIDDLETON,C,N,12,USH,EB,,,,,,,RAMP USH 12 TO USH 14,N,0.0473,43.10375638,-89.51637112,MVIT,ON,FTR,U STH,B,2,2,0,1,0,,,,,,,,,,,,,Y,,5539666,385,,USH,55
1KL07BZLWQ,DT4000,11/15/2017,7,DANE,MIDDLETON,C,N,,,,,N HIGH POINT RD,,,,,MEADOW CT,N,0.0214,43.09271055,-89.51814149,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,Y/I,,,,,,,,,,,Y,4820800,714,,,25
02L0Z90C42,DT4000,11/15/2017,16,DANE,MIDDLETON,T,PP,,,,,OLD SAUK RD,,,,,SCHEWE RD,W,0.1299,43.07471754,-89.56583121,OTH FX,O ROW,NO,R TOWN,O,1,2,0,0,0,,,,,,,,,,,,,Y,,5427944,181,Y,,35
1KL079QKT5,DT4000,11/15/2017,17,DANE,MIDDLETON,C,I,,,,,DISCOVERY DR,,,,,UW HEALTH CT,,0,43.10151383,-89.51823602,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5121375,960,,,30
1KL062PGFM,DT4000,11/16/2017,16,DANE,MIDDLETON,C,N,,,,,DEMING WAY,,,,,TERRACE AVE,N,0.0097,43.0955462,-89.52360168,HYDRNT,R SIDE,NO,U CITY,O,1,3,0,0,0,,,,,,,,,,,,,,,5063870,51,,,30
1KL07GNQ71,DT4000,11/16/2017,18,DANE,MIDDLETON,C,I,14,USH,EB,,,,,,,CROSSOVER USH 14,,0,43.09638419,-89.53482925,MVIT,ON,FTR,U STH,C,3,5,0,2,0,Y,,,,,,Y,,Y,,,,,,5488970,461,,USH,45
02L0ZV8VRB,DT4000,11/20/2017,8,DANE,MIDDLETON,T,I,,,,,AIRPORT RD,,,,,BERGAMOT WAY,,0,43.11099643,-89.56840321,OVRTRN,ON,NO,R TOWN,C,1,1,0,1,0,,,,,,Y,,,,,,,,,4829354,634,,,35
24L04D2XW2,DT4000,11/20/2017,8,DANE,CROSS PLAINS,V,N,14,USH,EB,,,P,CTH,,,,E,0.0256,43.11119514,-89.64469468,MVIT,ON,SSS,R STH,O,2,2,0,0,0,,,,,,,Y,,,,,,,,5341804,135,,USH,30
02L0Z0C3FB,DT4000,11/21/2017,16,DANE,MIDDLETON,C,N,12,USH,WB,,,,,,,PARMENTER ST,S,0.0271,43.12503933,-89.51483104,MVIT,ON,FTR,U STH,O,2,2,0,0,0,,,,,,,,,,,,,,,5455082,1590,,USH,55
1KL06SX4GN,DT4000,11/21/2017,16,DANE,MIDDLETON,C,N,,,,,GREENWAY BLVD,,,,,JOHN Q HAMMONS DR,E,0.0265,43.0901359,-89.52413098,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4842406,140,,,35
1KL07BZLWS,DT4000,11/21/2017,17,DANE,MIDDLETON,C,N,,,,,GREENWAY BLVD,,,,,DEMING WAY,E,0.0345,43.09011224,-89.52644734,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4842408,182,,,30
1KL072BC50,DT4000,11/26/2017,15,DANE,MIDDLETON,C,I,Q,CTH,,,,,,,,MENDOTA AVE,N,0.0176,43.09655511,-89.48599708,MVIT,ON,FTR,U CITY,O,2,4,0,0,0,,,,,,,,,,,,,,,4820463,1455,,CTH,35
1KL06WD6QK,DT4000,11/27/2017,9,DANE,MIDDLETON,C,N,,,,,DONNA DR,,,,,SPRING GROVE CT,E,0.0195,43.10603985,-89.4987765,CURB,ON,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,,,,4819869,103,,,25
1KL07BZLWV,DT4000,11/27/2017,19,DANE,MIDDLETON,C,I,Q,CTH,,,,M,CTH,,,,,0,43.11180036,-89.47165277,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,Y,Y,4840893,422,,CTH,35
1KL062PGFN,DT4000,11/29/2017,1,DANE,MIDDLETON,C,I,,,,,CAYUGA ST,,,,,CONNECTOR USH 14 TO CTH MS,,0,43.09674228,-89.51412273,TF SIG,SEP,NO,U CITY,O,1,2,0,0,0,,,,,,,,,,,,,,,4885655,264,,,30
1KL06WD6QM,DT4000,11/29/2017,9,DANE,MIDDLETON,C,N,,,,,PARMENTER ST,,,,,DISCOVERY DR,,0,43.10240318,-89.512036,TFSIGN,ON,NO,U CITY,O,1,1,0,0,0,,,Y/D,,Y,,,,,,,,,,5120283,97,,,15
1KL072BC52,DT4000,11/29/2017,12,DANE,MIDDLETON,C,N,,,,,DONNA DR,,,,,PARMENTER ST,W,0.0506,43.10588975,-89.51170517,MVIT,ON,OTHR,U CITY,O,2,2,0,0,0,,,,,Y,,,,,,,,,,5064072,718,,,25
02L0Z90C45,DT4000,11/29/2017,14,DANE,MIDDLETON,T,PP,,,,,WELCOME DR,S,CTH,NB,,,N,0.1244,43.06201211,-89.58528231,OTH FX,R SIDE,NO,R TOWN,O,1,1,0,0,0,UNKN,,,,,,,UNKN,,,,Y,,,4884608,947,,,25
1KL06WD6QN,DT4000,11/29/2017,14,DANE,MIDDLETON,C,N,MS,CTH,,,,,,,,MAYFLOWER DR,E,0.0496,43.09698065,-89.49707642,OTH FX,RTSH,NO,U CITY,C,1,1,0,1,0,,,,,,,,,Y,,,,,,4852020,411,,CTH,30
1KL072BC54,DT4000,11/29/2017,17,DANE,MIDDLETON,C,N,14,USH,WB,,,,,,,EAGLE DR,W,0.1426,43.09667924,-89.5305821,MVIT,ON,FTR,U STH,C,2,2,0,1,0,,,,,,,,,,,,,,,5314261,753,,USH,45
02L0Z0C3FD,DT4000,11/30/2017,14,DANE,MIDDLETON,T,N,14,USH,WB,,,,,,,PLEASANT VIEW RD,W,0.1061,43.09645039,-89.53693337,MVIT,ON,SSS,R STH,O,2,3,0,0,0,,,,,,,,,,,,,,,5455240,198,,USH,45
1KL072BC53,DT4000,11/30/2017,18,DANE,MIDDLETON,C,I,,,,,PARK ST,MS,CTH,,,,,0,43.09707776,-89.50169731,MVIT,ON,FTS,U CITY,B,2,3,0,1,0,,,,,,,,,,,,,,Y,4841785,475,,,25
1KL07GNQ73,DT4000,11/30/2017,18,DANE,MIDDLETON,C,I,14,USH,WB,,,,,,,PLEASANT VIEW RD,,0,43.09655516,-89.53483439,MVIT,ON,FTR,U STH,O,2,2,0,0,0,,,,,,,,,,,,,,,5314261,1891,,USH,45
02L0Z7RB1W,DT4000,12/3/2017,23,DANE,CROSS PLAINS,T,N,14,USH,WB,,,,,,,COWLING LN,E,0.0472,43.11596512,-89.66887556,ANL NA,ON,NO,R STH,B,1,1,0,1,0,,,,,,Y,,,Y,,,,,,5454901,249,,USH,55
